id,name,phone,email,address,category,city,area,source,source_url,phone_clean,email_valid,enriched,scraped_at,state,arn,license_no,membership_no,quality_score,quality_tier,blockchain_ca
17,Apeejay School,9811206587,skool.pp.del@apj.edu,"Road No.42, Sainik Vihar Pitampura, New Delhi 110034 (Principal: Ms. Veena Goel)",School,Delhi,,NPSC,http://www.apeejay.edu/pitampura,9811206587,1,1,2026-05-17 21:32:16,,,,,80,high,
18,Apeejay School,9899223842,prin.ss.del@apeejay.edu,"Panchsheel Park, New Delhi 110017 (Principal: D K Bedi)",School,Delhi,,NPSC,http://www.apeejay.edu/panchsheel,9899223842,1,1,2026-05-17 21:32:16,,,,,80,high,
19,Army Public School,8826683700,principalapsdc@gmail.com,"Sadar Bazar Road, Delhi Cantt, New Delhi 110010 (Principal: Dr. Neetu Kapoor)",School,Delhi,,NPSC,http://www.apsdelhicantt.com,8826683700,1,1,2026-05-17 21:32:16,,,,,80,high,
20,Army Public School,9868094928,apssvprincipal@gmail.com,"Shankar Vihar, Delhi Cantt,New Delhi 110010 (Principal: Ms. Malini Narayanan)",School,Delhi,,NPSC,http://www.apsshankarvihar.ac.in,9868094928,1,1,2026-05-17 21:32:16,,,,,80,high,
21,Army Public School,9818556994,apsdk1953@gmail.com,"Ridge Road, Dhaula Kuan, New Delhi 110010 (Principal: Ms. Komal Sood)",School,Delhi,,NPSC,http://www.apsdk.com,9818556994,1,1,2026-05-17 21:32:16,,,,,80,high,
22,Arvind Gupta Dav Centenary Public School,9818983686,office@agdav.edu.in,"Principal, Northex Model Town Delhi -110009 (Principal: Ms. Mala Sood)",School,Delhi,,NPSC,http://www.agdav.edu.in,9818983686,1,1,2026-05-17 21:32:16,,,,,80,high,
23,Asn. Senior Secondary School,8130449000,principal@asnschool.org,"Mayur Vihar 1, Delhi 110091 (Principal: Ms. Swarnima Luthra)",School,Delhi,,NPSC,http://www.asnschool.org,8130449000,1,1,2026-05-17 21:32:16,,,,,80,high,
24,"Aurum, The Global School",8859505663,aurum@aurum.edu.in,Haldwani (Principal: Ms. Rupali Sehgal),School,Delhi,,NPSC,http://aurumschool.com,8859505663,1,1,2026-05-17 21:32:16,,,,,80,high,
25,B K Birla Centre For Education,9891882552,rajeevchauhan@hotmail.com,"Shirgaon, Near Prati Shirdi Sai Mandir, Post Talegaon Dabhade, Tal. Maval, Dist Pune Maharashtra – 410 506 (Principal: DR. RAJEEV KUMAR CHAUHAN)",School,Delhi,,NPSC,http://www.bkbirlacentre.com,9891882552,1,1,2026-05-17 21:32:16,,,,,80,high,
26,Bal Bharati Public School,9818277742,principal_bbpsdw@yahoo.com,"Sector 12, Dwarka, New Delhi 110078 (Principal: Ms. Suruchi Gandhi)",School,Delhi,,NPSC,http://bbpsdwarka.balbharati.org/,9818277742,1,1,2026-05-17 21:32:16,,,,,80,high,
27,Bal Bharati Public School,9810469166,geeta.gangwani@balbharati.org,"Sector 14, Rohini, Behind Saroj Hospital, New Delhi 110085 (Principal: Ms. Geeta Gangwani)",School,Delhi,,NPSC,http://www.bbpsrohini.balbharati.org,9810469166,1,1,2026-05-17 21:32:16,,,,,80,high,
28,Bal Bharati Public School,8800182674,balbharati@pp.balbharati.org,"Parwana Road, Pitampura, Delhi 110034 (Principal: Ms. Meenu Goswami)",School,Delhi,,NPSC,http://bbpspp.balbharati.org,8800182674,1,1,2026-05-17 21:32:16,,,,,80,high,
29,"Bal Bharati Public School, Bilaspur",8435919369,shalab.nigam@balbharati.org,"NTPC Sipat, Bilaspur, Chhattisgarh 495555 (Principal: Mr. Shalabh Nigam)",School,Delhi,,NPSC,http://bbpssipat.balbharati.org,8435919369,1,1,2026-05-17 21:32:16,,,,,80,high,
30,"Bal Bharati Public School, Ganga Ram",9811268181,bbpsgrh@balbharati.org,"Ganga Ram Hospital Marg, Delhi 110060 (Principal: Mr. Laksh Vir Sehgal)",School,Delhi,,NPSC,https://bbpsgr.balbharati.org/,9811268181,1,1,2026-05-17 21:32:16,,,,,80,high,
31,Bal Bhawan Public School,7042611227,bbpsmv@gmail.com,"G. C. Lagan Marg. Pocket-B, Mayur Vihar. Phase - II Delhi – 91 (Principal: Mr. Vividh Gupta)",School,Delhi,,NPSC,https://www.bbpsmv.com,7042611227,1,1,2026-05-17 21:32:16,,,,,80,high,
32,Banyan Tree School,9999701611,rina.bana@banyantree.in,"No.3 Lodhi Institutional Area, Lodhi Road, New Delhi 110003 (Principal: Ms. Rina Bana)",School,Delhi,,NPSC,http://www.banyantree.in,9999701611,1,1,2026-05-17 21:32:16,,,,,80,high,
33,Bharatiya Vidya Bhavan'S Mehta Vidyalaya,8800098551,principalmehtavidyalaya@gmail.com,"Kasturba Gandhi Marg, New Delhi 110001 (Principal: Dr. Anju Tandon)",School,Delhi,,NPSC,http://www.bvbmehtavidyalaya.org,8800098551,1,1,2026-05-17 21:32:16,,,,,80,high,
34,Bharatiya Vidya Bhavan'S V. M. Public School,9827566434,info@bhavansbaroda.org,"Teen Rasta, Makarpura Road, Vadodara, Gujarat 390009 (Principal: Mr. Rajeev Kumar Singhal)",School,Delhi,,NPSC,http://www.bhavansbaroda.org,9827566434,1,1,2026-05-17 21:32:16,,,,,80,high,
35,Bharti Public School,8800990774,info.sv@bps.edu.in,"SwasthyaVihar,Delhi1-10092 (Principal: Dr. Savita Arora)",School,Delhi,,NPSC,http://www.bps.edu.in,8800990774,1,1,2026-05-17 21:32:16,,,,,80,high,
36,Bhatnagar International School,9810034625,bhatnagarinternationalschool@gmail.com,"Sector B Pocket X, Vasant Kunj, New Delhi 110070 (Principal: Ms. Shilpa Bhatnagar)",School,Delhi,,NPSC,http://www.bhatnagarinternationalschool.in,9810034625,1,1,2026-05-17 21:32:16,,,,,80,high,
37,Bhavan'S Sl Public School,9915044485,bhavanamritsar@gmail.com,"Opp. Shivala Bhaiyan, Amritsar, Punjab 143001 (Principal: Dr. Anita Bhalla)",School,Delhi,,NPSC,http://www.bhavans.info,9915044485,1,1,2026-05-17 21:32:16,,,,,80,high,
38,Birla Vidya Niketan,9560721363,principal@birla.ac.in,"Sector-IV,PushpVihar, NewDelhi110017 (Principal: Ms. Minakshi Kushwaha)",School,Delhi,,NPSC,http://www.birla.ac.in,9560721363,1,1,2026-05-17 21:32:16,,,,,80,high,
39,Bloom Public School,9891366685,information@bloompublicschool.org,"C 8, Vasant Kunj, New Delhi 110070 (Principal: Ms. Shyma Vinod)",School,Delhi,,NPSC,http://www.bloompublicschool.org,9891366685,1,1,2026-05-17 21:32:16,,,,,80,high,
40,Bluebells School International,9871103879,,"Kailash, New Delhi 110048 (Principal: Ms. Sonal Rawat)",School,Delhi,,NPSC,http://www.bluebellseinternational.com,9871103879,0,1,2026-05-17 21:32:16,,,,,55,medium,
41,Brilliant Public School,8251822772,,"Seepat Road, Bahatarai, (CGS) Bilaspur - 495006 (Principal: Dr. Shruti Gupta)",School,Delhi,,NPSC,http://www.brilliantbsp.com,8251822772,0,1,2026-05-17 21:32:16,,,,,55,medium,
42,"Cambridge School, Srinivaspuri",9911101242,nfo.snp@cambridgeschool.edu.in,"Swami Pranavananda Marg, Ring Road, New Delhi 110064 (Principal: Ms. Sarbory Dhyani)",School,Delhi,,NPSC,http://snp.cambridgeschool.edu.in,9911101242,1,1,2026-05-17 21:32:16,,,,,80,high,
43,Carmel Convent School,7838435794,carmeldelhi@gmail.com,"Malcha Marg, Chanakya puri, New Delhi 110021 (Principal: Sr. Tina Maria D'souza)",School,Delhi,,NPSC,http://www.carmeldelhi.com,7838435794,1,1,2026-05-17 21:32:16,,,,,80,high,
44,Chinmaya Vidyalaya Senior Secondary Public School,9999213818,admin@chinmayavvdelhi.ac.in,"Vasant Vihar, New Delhi 110057 (Principal: Ms. Archana Soni)",School,Delhi,,NPSC,http://www.chinmayavvdelhi.com,9999213818,1,1,2026-05-17 21:32:16,,,,,80,high,
45,Convent Of Jesus And Mary,9717957837,cjm.delhi@yahoo.com,"1, Bangla Sahib Road, New Delhi 110001 (Principal: SR. Gracy Paul)",School,Delhi,,NPSC,http://www.cjmdelhi.com,9717957837,1,1,2026-05-17 21:32:16,,,,,80,high,
46,Crescent Public School,9818643167,mainisunil@gmail.com,Saraswati Vihar Pitampura Delhi (Principal: Mr. Sunil Maini),School,Delhi,,NPSC,http://www.crescentpublicschool.in/,9818643167,1,1,2026-05-17 21:32:16,,,,,80,high,
47,Crpf Public School,9540305420,crpfschoolrohini@gmail.com,"Sector XIV, Rohini, New Delhi-110085 (Principal: Ms. Nidhi Chaudhary)",School,Delhi,,NPSC,http://www.crpfpsrohini.org.in,9540305420,1,1,2026-05-17 21:32:16,,,,,80,high,
48,Crpf Public School,9818114466,crpfdwarka@gmail.com,"Sector 16 B Dwarka, New Delhi 110078 (Principal: Ms. Meenu Tiwari)",School,Delhi,,NPSC,https://www.crpfpsdwarka.in/,9818114466,1,1,2026-05-17 21:32:16,,,,,80,high,
49,Darbari Lal Dav Model School,9811034506,dldavpp@yahoo.co.in,"ND Block, Pitampura, Delhi 110034 (Principal: Ms. Seema Agarwal)",School,Delhi,,NPSC,http://www.dldavpp.com,9811034506,1,1,2026-05-17 21:32:16,,,,,80,high,
50,Darbarilal Dav Model School,9811950054,info@dldavsb.org,"BN Block, Shalimar Bagh, New Delhi 110088 (Principal: Ms. Reena Rajpal)",School,Delhi,,NPSC,http://www.dldavsb.in,9811950054,1,1,2026-05-17 21:32:16,,,,,80,high,
51,Dav Centenary Public School,9810372161,soniamalik277@gmail.com,"PASCHIM ENCLAVE, ROHTAK ROAD, NEW DELHI-87 (Principal: Ms. Sonia Malik)",School,Delhi,,NPSC,http://www.davschoolpemn.org,9810372161,1,1,2026-05-17 21:32:16,,,,,80,high,
52,Dav International School,8283832449,infodavintschool@yahoo.co.in,"Verka Chowk, By-pass Road, Amritsar, Punjab 143501 (Principal: Dr. Anjana Gupta)",School,Delhi,,NPSC,http://www.davintschool.org,8283832449,1,1,2026-05-17 21:32:16,,,,,80,high,
53,Dav Public School,9911194920,davsvd@hotmail.com,"Sreshtha Vihar, Delhi110092 (Principal: Ms. Suhasini Khushinder Nath)",School,Delhi,,NPSC,http://www.davsreshtha.com,9911194920,1,1,2026-05-17 21:32:16,,,,,80,high,
54,Dav Public School,9871318064,davaskph4@gmail.com,"Ashok Vihar, Phase IV, Delhi-110052 (Principal: Ms. Kusum Bhardwaj)",School,Delhi,,NPSC,http://www.davashokvihar.org,9871318064,1,1,2026-05-17 21:32:16,,,,,80,high,
55,"Dav Public School,",9911357955,principal@dav49gurugram.org,"Uppal's Southend, Sector-49, Gurgaon (Principal: Ms. Charu Maini)",School,Delhi,,NPSC,http://dav49gurugram.org,9911357955,1,1,2026-05-17 21:32:16,,,,,80,high,
56,"Dav Public School, Amritsar",9855876991,davpublicasr@gmail.com,"Lawrence Road, Amritsar, Punjab 143001 (Principal: Ms. Anita Mehra)",School,Delhi,,NPSC,http://www.davpublic.com,9855876991,1,1,2026-05-17 21:32:16,,,,,80,high,
57,"Dav Public School, Pushpanjali Enclave",9871922170,principal@davpushpanjali.com,"Pushpanjali Enclave, Pitampura, Outer Ring Road, Delhi -110093 (Principal: Ms. Rashmi Raj Biswal)",School,Delhi,,NPSC,http://www.davpushpanjali.in,9871922170,1,1,2026-05-17 21:32:16,,,,,80,high,
58,Dayawati Modi Public School,1232242674,principal@dmpsraebareli.in,"Modi Pon, Hapur Road, Modi Nagar, U.P. 201204 (Principal: Dr. N. P. Singh)",School,Delhi,,NPSC,http://www.dmapsmodinagar.org,1232242674,1,1,2026-05-17 21:32:16,,,,,80,high,
59,Delhi International School,9818492362,principal.dwarka@dis.ac.in,"Sector 23, Dwarka, New Delhi 110077 (Principal: Ms. Sunita Sharma)",School,Delhi,,NPSC,http://www.dis.ac.in,9818492362,1,1,2026-05-17 21:32:16,,,,,80,high,
60,Delhi Police Public School,8130996770,ruby2malhotra@gmail.com,"B 4, Safdarjung Enclave, New Delhi 110029 (Principal: Ms. Ruby Malhotra)",School,Delhi,,NPSC,http://www.delhipolicepublicschool.com,8130996770,1,1,2026-05-17 21:32:16,,,,,80,high,
61,"Delhi Public School, Dwarka",9958691151,mail@dpsdwarka.com,"Sector 3, Ph I, Dwarka, New Delhi 110078 (Principal: Ms. Priya Narayanan)",School,Delhi,,NPSC,http://www.dpsdwarka.com,9958691151,1,1,2026-05-17 21:32:16,,,,,80,high,
62,"Delhi Public School, Jharkhand",7250643111,info@dpsbokaro.com,"Sector IV, Bokaro Steel City, District Bokaro, Jharkhand 827004 (Principal: Mr. A. S. Gangwar)",School,Delhi,,NPSC,http://www.dpsbokaro.com,7250643111,1,1,2026-05-17 21:32:16,,,,,80,high,
63,"Delhi Public School, Jodhpur",9413327500,dpsjodhpur@rediffmail.com,"Bypass Road, Pal, Jodhpur, Rajasthan 342014 (Principal: Mr. Bikram Singh Yadav)",School,Delhi,,NPSC,http://www.dpsjodhpur.in,9413327500,1,1,2026-05-17 21:32:16,,,,,80,high,
64,"Delhi Public School, Mathura Road",9810556700,mainoffice@dpsmathuraroad.org,"Mathura Road, New Delhi 110003 (Principal: Ms. Reema Sharma)",School,Delhi,,NPSC,http://www.dpsmathuraroad.org,9810556700,1,1,2026-05-17 21:32:16,,,,,80,high,
65,"Delhi Public School, R. K. Puram",8368408010,principal@dpsrkp.net,"RK Puram, New Delhi 110022 (Principal: Ms. Padma Srinivasan)",School,Delhi,,NPSC,http://www.dpsrkp.net,8368408010,1,1,2026-05-17 21:32:16,,,,,80,high,
66,"Delhi Public School, Rohini",9811995848,principal@dpsrohini.com,"Sector-24, Phase-III, Rohini, Delhi-110085 (Principal: Ms. Kanika Sachdeva Govi)",School,Delhi,,NPSC,http://www.dpsrohini.com,9811995848,1,1,2026-05-17 21:32:16,,,,,80,high,
67,"Delhi Public School, Vasant Kunj",9968424001,principal@dpsvasantkunj.com,"Sector C, Pocket 5, Vasant Kunj, New Delhi 110070 (Principal: Ms. Deepti Vohra)",School,Delhi,,NPSC,http://www.dpsvasantkunj.com,9968424001,1,1,2026-05-17 21:32:16,,,,,80,high,
68,"Delhi Public School, Vidyutnagar",9650257843,pdpsvn@gmail.com,"NTPC Dadri, Vidyutnagar, Gautam Budh Nagar, U.P. 201008 (Principal: Mr. Keshav Kant Sharma,)",School,Delhi,,NPSC,http://www.dpsvndadri.com,9650257843,1,1,2026-05-17 21:32:16,,,,,80,high,
69,Desh Raj Vadhera Dav Centenary Public School,9872872189,gambhiry@yahoo.in,"Behind DRV DAV Centenary College GT Road, Phillaur, Jalandhar, Punjab (Principal: Mr. Yogesh Gambhir)",School,Delhi,,NPSC,http://www.drvdavphillaur.com,9872872189,1,1,2026-05-17 21:32:16,,,,,80,high,
70,Don Bosco School,8210844626,principal@donboscoschool.in,"Alaknanda, New Delhi-110019 (Principal: Fr. Hemlet Kujur)",School,Delhi,,NPSC,http://www.donboscoschool.in,8210844626,1,1,2026-05-17 21:32:16,,,,,80,high,
71,Dpsg,9871063335,info.dpsgpv@dpsgs.org,"I Block, Palam Vihar, District, Gurgaon 122017 (Principal: Ms. Jayshree Patel)",School,Delhi,,NPSC,https://www.dpsgs.org/palam-vihar/,9871063335,1,1,2026-05-17 21:32:16,,,,,80,high,
72,Faith Academy,9899284142,,"John L Dorsey Road, Prasad Nagar, New Delhi 110005 (Principal: Dr. M Kannan)",School,Delhi,,NPSC,http://www.faithacademy.in,9899284142,0,1,2026-05-17 21:32:16,,,,,55,medium,
73,Golden Jubilee School,9839470360,gjsjalna@gmail.com,"Near Santoshi Mata Temple, Jalna, Maharashtra-431203 (Principal: Ms. Priya Peter)",School,Delhi,,NPSC,http://www.goldenjubileeschool.in,9839470360,1,1,2026-05-17 21:32:16,,,,,80,high,
74,Greenfields Public School,9810862699,info@greenfieldspublicschool.com,"GTB Enclave, Dilshad Garden, New Delhi 110093 (Principal: Ms. Prerna Barsaley)",School,Delhi,,NPSC,http://www.greenfieldspublicschool.com,9810862699,1,1,2026-05-17 21:32:16,,,,,80,high,
75,Guru Harikrishan Public School,9810328385,ghpsig@gmail.com,"1 Purana Quila Road, New Delhi 110001 (Principal: Ms. Mandeep Kaur)",School,Delhi,,NPSC,http://gnpspunjabibagh.org/,9810328385,1,1,2026-05-17 21:32:16,,,,,80,high,
76,Guru Harikrishan Public School,9013329715,sukhwantkuar@gmail.com,"Poorvi Marg, Vasant Vihar, New Delhi 110057 (Principal: Dr. Sukhwant Kaur)",School,Delhi,,NPSC,http://www.ghpsvv.com/site/,9013329715,1,1,2026-05-17 21:32:16,,,,,80,high,
77,Guru Harikrishan Public School,9899164074,,"100 Ft. Road, Behind Rajiv Automobiles, Loni Road, Shahdara, Delhi 110094 (Principal: Mr. Satbir Singh)",School,Delhi,,NPSC,http://www.ghpsloniroad.edu.in,9899164074,0,1,2026-05-17 21:32:16,,,,,55,medium,
78,Guru Nanak Public School,9811392163,,"West Avenue Road, Punjabi Bagh, New Delhi 110026 (Principal: Ms. Reema Punj)",School,Delhi,,NPSC,http://gnpspunjabibagh.org/,9811392163,0,1,2026-05-17 21:32:16,,,,,55,medium,
79,Guru Tegh Bahadur 3Rd Centenary Public School,9871620111,gtb3school@gmail.com,"CBlock, Mansarover Garden, New Delhi 110015 (Principal: Ms. Jaspritma Kaur)",School,Delhi,,NPSC,http://www.gtb3rdcentenary.com/,9871620111,1,1,2026-05-17 21:32:16,,,,,80,high,
80,Gyan Bharati School,9810490224,gyanbharati@gmail.com,"Block D, Saket, New Delhi-110017 (Principal: Ms. Nishi. M Manglik)",School,Delhi,,NPSC,http://www.gyanbharatischool.net/,9810490224,1,1,2026-05-17 21:32:16,,,,,80,high,
81,Gyan Mandir Public School,9953883608,gyan_mandir2002@yahoo.com,"E Block, Naraina Vihar, New Delhi 110028 (Principal: Ms. Rajesh Banopreeya)",School,Delhi,,NPSC,http://www.gyanmandirpublicschool.com/,9953883608,1,1,2026-05-17 21:32:16,,,,,80,high,
82,Hamdard Public School,7835030682,hpsdelhi@rediffmail.com,"Talimabad, Sangam Vihar, New Delhi 110080 (Principal: Ms. Saher M A Sayed)",School,Delhi,,NPSC,http://hamdardpublicschool.in/,7835030682,1,1,2026-05-17 21:32:16,,,,,80,high,
83,Hansraj Model School,9999044329,info@hansrajmodelschool.org,"Road No.73, Punjabi Bagh West, New Delhi 110026 (Principal: Ms. Heemal Handoo Bhat)",School,Delhi,,NPSC,http://www.hansrajmodelschool.org/,9999044329,1,1,2026-05-17 21:32:16,,,,,80,high,
84,Himalaya Public Sr. Sec School,9210893688,arunahps86@gmail.com,"D 12, Sector 7, Rohini, Delhi 110085 (Principal: Ms. Aruna Sivaraj)",School,Delhi,,NPSC,https://www.himalayapublicschool.com/,9210893688,1,1,2026-05-17 21:32:16,,,,,80,high,
85,Holy Child Auxilium School,8527555227,hcauxiliumvv@yahoo.co.in,"Poorvi Marg, Vasant Vihar, New Delhi 110057 (Principal: Sr. Celina Alexander)",School,Delhi,,NPSC,http://www.hcauxilium.co.in/,8527555227,1,1,2026-05-17 21:32:16,,,,,80,high,
86,Holy Child Sr Sec School,8570860749,sr.mallika10@gmail.com,"Tagore Garden, New Delhi 110027 (Principal: Sr. Mallika)",School,Delhi,,NPSC,http://www.holychilddelhi.org/,8570860749,1,1,2026-05-17 21:32:16,,,,,80,high,
87,"Indian School, Muscat",6824794919,ismoman@omantel.net.om,"PB : 2470, P.C. 112, Sultanate of Oman (Principal: Mr. Rakesh Joshi)",School,Delhi,,NPSC,http://www.ismoman.com/,6824794919,1,1,2026-05-17 21:32:16,,,,,80,high,
88,Indraprastha International School,9717131728,ipdwarka@indraprasthaschool.com,"Sector 10, Dwarka, New Delhi 110075 (Principal: Dr. Rajesh Hassija)",School,Delhi,,NPSC,http://www.indraprasthaschool.com/,9717131728,1,1,2026-05-17 21:32:16,,,,,80,high,
89,Indraprastha World School,9868483330,principal.ipws@indraprasthaschool.com,"A 2 Block, Paschim Vihar, New Delhi 110063 (Principal: Ms. Ruchira Bhatnagar)",School,Delhi,,NPSC,http://www.indraprasthaschool.com/,9868483330,1,1,2026-05-17 21:32:16,,,,,80,high,
90,Itl Public School,9868521047,itlschool@yahoo.in,"Sector-9, Dwarka, New Delhi-110077 (Principal: Dr. Sudha Acharya)",School,Delhi,,NPSC,http://www.itlpublicschool.net/,9868521047,1,1,2026-05-17 21:32:16,,,,,80,high,
91,Jaspal Kaur Public School,9650019430,principal@jkps.org,"B' Paschimi, Shalimar Bagh, New Delhi 110088 (Principal: Ms. Asha Saran Srivastava)",School,Delhi,,NPSC,http://www.jkps.org/,9650019430,1,1,2026-05-17 21:32:16,,,,,80,high,
92,K R Mangalam World School,9311973330,principal.southcity@krmangalam.com,"South City 1, Gurgaon, Haryana (Principal: Dr. Aparna Seebaluck)",School,Delhi,,NPSC,http://www.krmangalamgurgaon.com/,9311973330,1,1,2026-05-17 21:32:16,,,,,80,high,
93,K.R. Mangalam World School,9717861133,gk@krmangalam.com,"S Block, Greater Kailash – II,New Delhi-48 (Principal: Dr. Jyoti Gupta)",School,Delhi,,NPSC,https://krmangalam.com/gk2/,9717861133,1,1,2026-05-17 21:32:16,,,,,80,high,
94,Kiit World School,9811689898,sangeeta.bhatia@kiitworld.in,"Zone H 4,Suvidha Kunj,Pitampura, Delhi 110034 (Principal: Dr. Sangeeta Bhatia)",School,Delhi,,NPSC,http://www.kiitworld.in/,9811689898,1,1,2026-05-17 21:32:16,,,,,80,high,
95,Kulachi Hansraj Model School,9717195811,khmsav3@gmail.com,"Ashok Vihar, Phase III, Near Sunder Lal Jain Hospital (Principal: Ms. Sneh Verma)",School,Delhi,,NPSC,http://www.khms.ac.in/,9717195811,1,1,2026-05-17 21:32:16,,,,,80,high,
96,Laxman Public School,9810449697,general@laxmanpublicschool.com,"Hauz Khas Enclave, New Delhi 110016 (Principal: Mrs. Seema Bharti Mishra)",School,Delhi,,NPSC,http://www.laxmanpublicschool.com/,9810449697,1,1,2026-05-17 21:32:16,,,,,80,high,
97,Loreto Convent School,7428432299,loretodelhi@gmail.com,"Parade Road, Delhi Cantt., New Delhi 110010 (Principal: Ms. Alice Rose D'Lima)",School,Delhi,,NPSC,https://www.loretodelhi.com/,7428432299,1,1,2026-05-17 21:32:16,,,,,80,high,
98,Lovely Public Sr. Secondary School,9811887787,lpspioneersun@gmail.com,"Priyadarshini Vihar, Near Bank Enclave, New Delhi 110092 (Principal: Dr. Bhawna Malik)",School,Delhi,,NPSC,http://www.lpsschool.com/,9811887787,1,1,2026-05-17 21:32:16,,,,,80,high,
99,Mahadevi Birla World Academy,9830260979,info@mbwa.org,"17A, Darga Road, Beniapukur, Kolkata, West Bengal – 700017 (Principal: Ms. Anjana Saha)",School,Delhi,,NPSC,http://www.mbwa.org.in/,9830260979,1,1,2026-05-17 21:32:16,,,,,80,high,
100,Maharaja Agrasen Model School,9810784408,pratibhakohli8@gmail.com,"CD Block, Pitampura, New Delhi 110034 (Principal: Dr. Pratibha Kohli)",School,Delhi,,NPSC,http://www.agrasenschool.com/,9810784408,1,1,2026-05-17 21:32:16,,,,,80,high,
101,Maharaja Harisingh Agriculture Collegiate School,9469648602,mhacnagbani@yahoo.com,"Nagbani PO, Dumana, Jammu, J & K 181206 (Principal: Mr. B.S. Rawat)",School,Delhi,,NPSC,http://www.mhacnagbani.com/,9469648602,1,1,2026-05-17 21:32:16,,,,,80,high,
102,Mahavir Senior Model School,9990091973,msmsdelhi83@gmail.com,"Sangam Park Extn., G. T. Karnal Road, Delhi 110033 (Principal: Ms. Ruchika Sukhija)",School,Delhi,,NPSC,http://www.msmsdelhi.in/,9990091973,1,1,2026-05-17 21:32:16,,,,,80,high,
103,Mamta Modern School,9810138035,mamtamodernschool@gmail.com,"H Block, Vikaspuri New Delhi 110018 (Principal: Ms. Pallavi Sharma)",School,Delhi,,NPSC,http://www.mamtamodernschool.com/,9810138035,1,1,2026-05-17 21:32:16,,,,,80,high,
